TOTAL_STIMULUS_REC: 427
NLP_parse_percentage_in_AF: 0
Logged_at: 08:00:00:000
Atom(uuid), Atom(name), EnteredAt, LastSeenAt, STI, DurationInAF, IsNLPParseOutput, DirectSTI, GainFromSpreading
4654110401115762, pollen, 16:51:50:326, 16:52:03:600, 0.557164, 13.2738, 1, 150, 0.500376
47153927320151812, nigh%4:02:01::, 16:51:48:626, 16:51:50:326, -2.1185, 1.70018, 1,  - , 5.91332
129180190883819739, other, 16:51:50:818, 16:52:09:496, 11.7678, 18.678, 1, 200, 0.000448072
129572895285309251, can, 16:51:49:527, 16:52:09:496, 18.3909, 19.969, 1, 300, 42.8339
179767431985896456, genus, 16:52:06:133, 16:52:09:496, 12.9597, 3.36312, 1,  - ,  - 
189515668651138441, improvize%2:36:00::, 16:51:53:617, 16:51:54:711, 0, 1.094, 1,  - , 0.5
210434859087051122, eyes, 16:52:03:744, 16:52:09:496, 3.71112, 5.75237, 1,  - ,  - 
224914245004177916, ., 16:51:48:522, 16:52:09:496, 670.061, 20.9739, 0, 4850, 30.9131
238713097465677210, in, 16:51:48:842, 16:52:09:496, 156.002, 20.6539, 1, 1200, 16.8359
247278477959661152, woodlouse, 16:51:48:626, 16:52:09:496, 17.583, 20.8705, 1, 100, 14.5684
255020866638450161, belong, 16:51:52:759, 16:52:02:121, -9.59136, 9.36223, 1, 50, 0.000384692
264445346224138826, family, 16:51:52:759, 16:52:03:744, 0, 10.9849, 1, 200, 0.000384692
324571710809030130, fare, 16:51:53:499, 16:51:54:822, 0, 1.3237, 1,  - , 1
384797615427064134, ), 16:51:49:527, 16:52:09:496, 8.96131, 19.969, 0, 150, 0.000375883
395239978047675157, make, 16:51:53:382, 16:52:09:496, 13.3126, 16.1145, 1, 100, 1
403363269517810576, viruses, 16:51:55:476, 16:52:04:832, 1.78059, 9.35585, 0, 50, 0
403940405704230933, fulfill%2:42:00::, 16:51:53:499, 16:51:54:711, 0, 1.21259, 1,  - , 1
421859122580166243, gather, 16:51:49:864, 16:51:57:876, -4.25482, 8.01208, 1, 50, 0.250376
436593519867491064, different, 16:51:55:359, 16:52:06:977, 0, 11.6177, 1,  - ,  - 
443514927522192133, unlike, 16:51:48:842, 16:52:09:496, 6.64541, 20.6539, 1, 50, 4.33553
454213604292819815, do%2:36:02::, 16:51:48:732, 16:51:51:168, -0.679723, 2.43586, 1,  - , 20.3
473458240976135659, habitats, 16:51:56:416, 16:52:07:639, 0.76351, 11.2228, 0, 50, 0.000193237
480216478043795619, very, 16:52:02:245, 16:52:09:496, 0, 7.25122, 1,  - ,  - 
486914246794951718, feeding, 16:51:50:326, 16:51:57:726, -3.96947, 7.40067, 1, 100, 0.500376
515933874938020247, tasmania, 16:52:08:343, 16:52:09:496, 13.1163, 1.15269, 0,  - ,  - 
533049664271630316, similar, 16:51:49:527, 16:52:09:496, 11.9983, 19.969, 1, 150, 0.500376
549817980321782562, comprise, 16:51:49:752, 16:51:57:847, -4.06349, 8.0945, 1, 50, 2.58371
560437915148262375, most%4:02:00::, 16:51:48:626, 16:51:50:326, -2.11843, 1.70017, 1,  - , 12.4132
627392787385518691, segmented, 16:51:53:865, 16:52:09:496, 15.5028, 15.6311, 0, 100, 7.66871e-05
630185169451008701, deters, 16:51:50:818, 16:52:01:975, -0.544581, 11.1569, 0, 100, 0.00044807
634900961834177693, wasp-like, 16:51:56:651, 16:52:02:121, 0.792551, 5.46984, 0, 50, 0.000193237
635717653585385898, however.e@0c880f74-f27f-4a41-8e14-0bbaeafb8ef5, 16:51:48:522, 16:51:55:247, 2.7034e-06, 6.72485, 0,  - , 28.8497
643335844547241829, act%2:29:00::, 16:51:48:732, 16:51:51:168, -0.679723, 2.43585, 1,  - , 19.3
645600482995008758, sharpshooters, 16:51:53:110, 16:52:02:121, -9.64837, 9.01065, 0, 50, 0.000193237
647904714864048720, adapted, 16:51:50:326, 16:51:57:726, -3.94166, 7.40067, 0, 100, 0.000375838
652044602227365965, terebrantia, 16:51:56:885, 16:52:05:112, 0.231949, 8.22728, 0, 50, 0.000193237
672209744764972597, nevertheless%4:02:00::, 16:51:48:732, 16:51:50:586, -2.29292, 1.85454, 1,  - , 12.7755
690693652329620029, species, 16:51:48:955, 16:52:09:496, 137.536, 20.541, 1, 1050, 0.669175
691863972454221859, muscles.n@10911b48-8cf2-4435-abdb-a56b0f9c3c3d, 16:51:53:382, 16:52:09:496, 8.98648, 16.1145, 0,  - , 4.25019
725851016664054421, few, 16:51:55:359, 16:52:07:911, 0.992022, 12.5516, 1, 50, 0.000193237
758278191060126781, extensor_muscle%1:08:00::, 16:52:05:395, 16:52:07:331, 0.0293734, 1.9365, 1,  - , 4.03988
778093571729761199, live, 16:51:57:117, 16:52:03:869, 1.04427, 6.7514, 1, 50, 0.000193237
780409908813373719, diplopodologist, 16:52:01:975, 16:52:09:496, 4.58377, 7.52108, 0,  - ,  - 
784871582735838133, 2,400, 16:51:58:004, 16:52:02:121, 0.797811, 4.11745, 0, 50, 0.000193237
786696686280415898, parasitoids, 16:52:06:809, 16:52:09:496, 9.91495, 2.68747, 0,  - ,  - 
818127997033525385, render%2:36:03::, 16:51:53:617, 16:51:54:711, 0, 1.094, 1,  - , 1
818205382273897351, function%2:42:12::, 16:51:53:617, 16:51:54:822, 0, 1.20511, 1,  - , 1.5
820621493569604879, noun, 16:51:53:382, 16:51:54:907, 0, 1.52536, 1,  - , 1
821879334871727856, noun, 16:51:53:228, 16:51:53:617, 0, 0.3889, 0,  - , 16.3333
845525061045674168, lack, 16:52:07:777, 16:52:09:496, 7.47062, 1.71873, 1,  - ,  - 
850906329227103303, females, 16:52:02:466, 16:52:09:496, 3.23318, 7.03017, 0,  - ,  - 
882972761056795330, make%2:36:05::, 16:51:48:626, 16:51:55:247, 0.000976129, 6.62141, 1,  - , 18.5034
890884128416182975, population, 16:52:02:245, 16:52:09:496, 3.59318, 7.25122, 1, 50, 0.25
901311437943647807, serve%2:42:03::, 16:51:53:499, 16:51:54:711, 0, 1.21259, 1,  - , 1
907727305383151137, flatheaded, 16:52:02:991, 16:52:09:496, 3.98363, 6.50468, 0,  - ,  - 
927199144002112699, lepidoptera, 16:51:49:752, 16:51:57:847, -4.17248, 8.0945, 0, 50, 0.000375807
941132753778200813, material, 16:51:56:536, 16:52:09:496, 7.59464, 12.9597, 1,  - ,  - 
955007819498838415, 3000, 16:51:48:955, 16:52:09:496, 2.51557, 20.541, 0, 100, 0.00240183
989571012003079425, stick, 16:52:02:991, 16:52:09:496, 3.43483, 6.50468, 1,  - ,  - 
991184983879888201, tagmata, 16:51:57:726, 16:52:04:679, 1.61747, 6.95275, 0, 50, 0.000193237
